family,trace,capacity,horizon,decision_points,resident_candidate_observations,finite_reuse_count,never_reused_count,t_gt_h_count_including_never,t_gt_h_count_eventually_reused,t_le_h_count,never_reused_fraction,p_t_gt_h_including_never,p_t_gt_h_eventually_reused,p_t_le_h_including_never,finite_t_min,finite_t_q50,finite_t_q75,finite_t_q90,finite_t_q95,finite_t_q99,finite_t_max,runtime_seconds
brightkite,brightkite_50k,32,4,14426,461632,174226,287406,448702,161296,12930,0.622586822404,0.971990676556,0.925786048007,0.0280093234438,1,138,1511,11029,17798,27379,38996,0.824446439743
brightkite,brightkite_50k,64,4,13225,846400,270439,575961,833375,257414,13025,0.680483223062,0.984611294896,0.951837567806,0.015388705104,1,265,3745,13208,20412,29712,38996,1.51790833473
brightkite,brightkite_50k,128,4,12397,1586816,417772,1169044,1573890,404846,12926,0.73672309833,0.991854128015,0.969059678485,0.00814587198516,1,608,7036,15706,20901,30774,38996,2.76430559158
citibike,citibike_202401_50k,32,4,16603,531296,477834,53462,515319,461857,15977,0.100625639945,0.969928250919,0.966563702039,0.0300717490815,1,1405,3602,6995,10660,19980,36146,1.06768727303
citibike,citibike_202401_50k,64,4,15709,1005376,897363,108013,988592,880579,16784,0.107435427144,0.983305748297,0.981296309297,0.0166942517028,1,1635,3810,7305,11034,20475,36146,2.05951070786
citibike,citibike_202401_50k,128,4,14217,1819776,1611143,208633,1802228,1593595,17548,0.114647626961,0.990357054934,0.989108353511,0.00964294506577,1,1832,4040,7667,11609,20910,36146,3.63353061676
cloudphysics,cloudphysics_alibaba_block_head_50k,32,4,39442,1262144,207318,1054826,1259957,205131,2187,0.835741405101,0.998267234167,0.989450988337,0.00173276583338,1,999,3802,11916,18413,25863,37286,2.1525452137
cloudphysics,cloudphysics_alibaba_block_head_50k,64,4,38880,2488320,390294,2098026,2484358,386332,3962,0.843149594907,0.99840776106,0.989848678176,0.00159223894033,1,1122,4088,12523,18598,26144,37286,4.21423339844
cloudphysics,cloudphysics_alibaba_block_head_50k,128,4,38237,4894336,719393,4174943,4888499,713556,5837,0.85301519961,0.998807396958,0.991886215184,0.00119260304156,1,1264,4738,13153,18882,26228,37286,8.20999383926
metacdn,metacdn_cdn_202303_head_50k,32,4,23207,742624,181255,561369,718921,157552,23703,0.755926283018,0.968082098074,0.869228435078,0.0319179019261,1,207,1842,8757,15188,27440,38458,1.32281637192
metacdn,metacdn_cdn_202303_head_50k,64,4,22586,1445504,301978,1143526,1421050,277524,24454,0.791091550075,0.98308271717,0.919020590904,0.0169172828301,1,367,2784,10574,17056,28269,38458,2.49306297302
metacdn,metacdn_cdn_202303_head_50k,128,4,21952,2809856,506230,2303626,2784682,481056,25174,0.819837742575,0.991040822021,0.950271615669,0.00895917797923,1,626,3892,12288,18487,28942,38458,4.77497720718
metakv,metakv_kvcache_202206_head_50k,32,4,30569,978208,326875,651333,974583,323250,3625,0.665843051784,0.996294244169,0.988910133843,0.00370575583107,1,3278,8244,15360,20787,30412,39607,1.7378051281
metakv,metakv_kvcache_202206_head_50k,64,4,30552,1955328,650833,1304495,1951651,647156,3677,0.667148938695,0.998119497087,0.994350317209,0.00188050291307,1,3283,8291,15402,20834,30421,39607,3.38540172577
metakv,metakv_kvcache_202206_head_50k,128,4,30539,3908992,1299106,2609886,3905283,1295397,3709,0.667662149219,0.999051162039,0.997144959688,0.000948837961295,1,3267,8291,15381,20819,30418,39607,6.74234890938
twemcache,twemcache_cluster26_sample100_50k,32,4,30022,960704,669897,290807,940656,649849,20048,0.302701976884,0.979131969889,0.970073011224,0.0208680301113,1,949,15575,15756,15912,29343,38619,1.80579400063
twemcache,twemcache_cluster26_sample100_50k,64,4,27650,1769600,1198394,571206,1745699,1174493,23901,0.322788200723,0.986493557866,0.980055808023,0.0135064421338,1,1700,15581,15753,15951,29711,38619,3.34104561806
twemcache,twemcache_cluster26_sample100_50k,128,4,24913,3188864,2072882,1115982,3162579,2046597,26285,0.349962243608,0.99175725274,0.987319586933,0.00824274726047,1,6056,15559,15735,15974,29839,38619,5.83661103249
wiki2018,wiki2018_pageviews_en_50k,32,4,40000,1280000,0,1280000,1280000,0,0,1,1,,0,,,,,,,,2.0555832386
wiki2018,wiki2018_pageviews_en_50k,64,4,40000,2560000,0,2560000,2560000,0,0,1,1,,0,,,,,,,,4.01947975159
wiki2018,wiki2018_pageviews_en_50k,128,4,40000,5120000,0,5120000,5120000,0,0,1,1,,0,,,,,,,,8.1421444416
