trace,regime,capacity,requests,policy,misses,hits,hit_rate
file::example_atlas_v1,clean,4,10,blind_oracle_lru_combiner,5,5,0.5
file::example_atlas_v1,clean,4,10,rest_v1,5,5,0.5
file::example_atlas_v1,clean,4,10,atlas_v3,5,5,0.5
file::example_atlas_v1,clean,4,10,lru,6,4,0.4
file::example_atlas_v1,noisy,2,10,evict_value_v1_artifact,8,2,0.2
file::example_atlas_v1,noisy,2,10,evict_value_v1_lightweight,10,0,0.0
file::example_atlas_v1,noisy,2,10,robust_ftp_d_marker,8,2,0.2
file::example_atlas_v1,noisy,2,10,blind_oracle_lru_combiner,8,2,0.2
file::example_atlas_v1,noisy,2,10,rest_v1,9,1,0.1
file::example_atlas_v1,noisy,2,10,atlas_v3,8,2,0.2
file::example_atlas_v1,noisy,2,10,lru,10,0,0.0
file::example_atlas_v1,noisy,3,10,evict_value_v1_artifact,6,4,0.4
file::example_atlas_v1,noisy,3,10,evict_value_v1_lightweight,9,1,0.1
file::example_atlas_v1,noisy,3,10,robust_ftp_d_marker,6,4,0.4
file::example_atlas_v1,noisy,3,10,blind_oracle_lru_combiner,6,4,0.4
file::example_atlas_v1,noisy,3,10,rest_v1,6,4,0.4
file::example_atlas_v1,noisy,3,10,atlas_v3,6,4,0.4
file::example_atlas_v1,noisy,3,10,lru,9,1,0.1
file::example_atlas_v1,noisy,4,10,evict_value_v1_artifact,5,5,0.5
file::example_atlas_v1,noisy,4,10,evict_value_v1_lightweight,7,3,0.3
file::example_atlas_v1,noisy,4,10,robust_ftp_d_marker,5,5,0.5
file::example_atlas_v1,noisy,4,10,blind_oracle_lru_combiner,5,5,0.5
file::example_atlas_v1,noisy,4,10,rest_v1,5,5,0.5
file::example_atlas_v1,noisy,4,10,atlas_v3,5,5,0.5
file::example_atlas_v1,noisy,4,10,lru,6,4,0.4
stress::predictor_good_lru_bad,clean,2,10,evict_value_v1_artifact,8,2,0.2
stress::predictor_good_lru_bad,clean,2,10,evict_value_v1_lightweight,10,0,0.0
stress::predictor_good_lru_bad,clean,2,10,robust_ftp_d_marker,7,3,0.3
stress::predictor_good_lru_bad,clean,2,10,blind_oracle_lru_combiner,7,3,0.3
stress::predictor_good_lru_bad,clean,2,10,rest_v1,8,2,0.2
stress::predictor_good_lru_bad,clean,2,10,atlas_v3,8,2,0.2
stress::predictor_good_lru_bad,clean,2,10,lru,9,1,0.1
stress::predictor_good_lru_bad,clean,3,10,evict_value_v1_artifact,5,5,0.5
stress::predictor_good_lru_bad,clean,3,10,evict_value_v1_lightweight,9,1,0.1
stress::predictor_good_lru_bad,clean,3,10,robust_ftp_d_marker,5,5,0.5
stress::predictor_good_lru_bad,clean,3,10,blind_oracle_lru_combiner,5,5,0.5
stress::predictor_good_lru_bad,clean,3,10,rest_v1,7,3,0.3
stress::predictor_good_lru_bad,clean,3,10,atlas_v3,6,4,0.4
stress::predictor_good_lru_bad,clean,3,10,lru,7,3,0.3
stress::predictor_good_lru_bad,clean,4,10,evict_value_v1_artifact,4,6,0.6
stress::predictor_good_lru_bad,clean,4,10,evict_value_v1_lightweight,4,6,0.6
stress::predictor_good_lru_bad,clean,4,10,robust_ftp_d_marker,4,6,0.6
stress::predictor_good_lru_bad,clean,4,10,blind_oracle_lru_combiner,4,6,0.6
stress::predictor_good_lru_bad,clean,4,10,rest_v1,4,6,0.6
stress::predictor_good_lru_bad,clean,4,10,atlas_v3,4,6,0.6
stress::predictor_good_lru_bad,clean,4,10,lru,4,6,0.6
stress::predictor_good_lru_bad,noisy,2,10,evict_value_v1_artifact,8,2,0.2
stress::predictor_good_lru_bad,noisy,2,10,evict_value_v1_lightweight,9,1,0.1
stress::predictor_good_lru_bad,noisy,2,10,robust_ftp_d_marker,8,2,0.2
stress::predictor_good_lru_bad,noisy,2,10,blind_oracle_lru_combiner,8,2,0.2
stress::predictor_good_lru_bad,noisy,2,10,rest_v1,7,3,0.3
stress::predictor_good_lru_bad,noisy,2,10,atlas_v3,7,3,0.3
stress::predictor_good_lru_bad,noisy,2,10,lru,9,1,0.1
stress::predictor_good_lru_bad,noisy,3,10,evict_value_v1_artifact,6,4,0.4
stress::predictor_good_lru_bad,noisy,3,10,evict_value_v1_lightweight,8,2,0.2
stress::predictor_good_lru_bad,noisy,3,10,robust_ftp_d_marker,6,4,0.4
stress::predictor_good_lru_bad,noisy,3,10,blind_oracle_lru_combiner,7,3,0.3
stress::predictor_good_lru_bad,noisy,3,10,rest_v1,7,3,0.3
stress::predictor_good_lru_bad,noisy,3,10,atlas_v3,7,3,0.3
stress::predictor_good_lru_bad,noisy,3,10,lru,7,3,0.3
stress::predictor_good_lru_bad,noisy,4,10,evict_value_v1_artifact,4,6,0.6
stress::predictor_good_lru_bad,noisy,4,10,evict_value_v1_lightweight,4,6,0.6
stress::predictor_good_lru_bad,noisy,4,10,robust_ftp_d_marker,4,6,0.6
stress::predictor_good_lru_bad,noisy,4,10,blind_oracle_lru_combiner,4,6,0.6
stress::predictor_good_lru_bad,noisy,4,10,rest_v1,4,6,0.6
stress::predictor_good_lru_bad,noisy,4,10,atlas_v3,4,6,0.6
stress::predictor_good_lru_bad,noisy,4,10,lru,4,6,0.6
stress::predictor_bad_lru_good,clean,2,10,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,clean,2,10,evict_value_v1_lightweight,9,1,0.1
stress::predictor_bad_lru_good,clean,2,10,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,clean,2,10,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,clean,2,10,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,clean,2,10,atlas_v3,6,4,0.4
stress::predictor_bad_lru_good,clean,2,10,lru,6,4,0.4
stress::predictor_bad_lru_good,clean,3,10,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,clean,3,10,evict_value_v1_lightweight,8,2,0.2
stress::predictor_bad_lru_good,clean,3,10,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,clean,3,10,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,clean,3,10,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,clean,3,10,atlas_v3,6,4,0.4
stress::predictor_bad_lru_good,clean,3,10,lru,6,4,0.4
stress::predictor_bad_lru_good,clean,4,10,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,clean,4,10,evict_value_v1_lightweight,7,3,0.3
stress::predictor_bad_lru_good,clean,4,10,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,clean,4,10,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,clean,4,10,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,clean,4,10,atlas_v3,6,4,0.4
stress::predictor_bad_lru_good,clean,4,10,lru,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,10,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,10,evict_value_v1_lightweight,9,1,0.1
stress::predictor_bad_lru_good,noisy,2,10,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,10,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,10,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,10,atlas_v3,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,10,lru,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,10,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,10,evict_value_v1_lightweight,8,2,0.2
stress::predictor_bad_lru_good,noisy,3,10,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,10,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,10,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,10,atlas_v3,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,10,lru,6,4,0.4
stress::predictor_bad_lru_good,noisy,4,10,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,noisy,4,10,evict_value_v1_lightweight,7,3,0.3
stress::predictor_bad_lru_good,noisy,4,10,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,noisy,4,10,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,noisy,4,10,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,noisy,4,10,atlas_v3,6,4,0.4
stress::predictor_bad_lru_good,noisy,4,10,lru,6,4,0.4
stress::mixed_regime,clean,2,10,evict_value_v1_artifact,8,2,0.2
stress::mixed_regime,clean,2,10,evict_value_v1_lightweight,10,0,0.0
stress::mixed_regime,clean,2,10,robust_ftp_d_marker,7,3,0.3
stress::mixed_regime,clean,2,10,blind_oracle_lru_combiner,7,3,0.3
stress::mixed_regime,clean,2,10,rest_v1,10,0,0.0
stress::mixed_regime,clean,2,10,atlas_v3,9,1,0.1
stress::mixed_regime,clean,2,10,lru,10,0,0.0
stress::mixed_regime,clean,3,10,evict_value_v1_artifact,5,5,0.5
stress::mixed_regime,clean,3,10,evict_value_v1_lightweight,7,3,0.3
stress::mixed_regime,clean,3,10,robust_ftp_d_marker,5,5,0.5
stress::mixed_regime,clean,3,10,blind_oracle_lru_combiner,5,5,0.5
stress::mixed_regime,clean,3,10,rest_v1,5,5,0.5
stress::mixed_regime,clean,3,10,atlas_v3,5,5,0.5
stress::mixed_regime,clean,3,10,lru,7,3,0.3
stress::mixed_regime,clean,4,10,evict_value_v1_artifact,4,6,0.6
stress::mixed_regime,clean,4,10,evict_value_v1_lightweight,4,6,0.6
stress::mixed_regime,clean,4,10,robust_ftp_d_marker,4,6,0.6
stress::mixed_regime,clean,4,10,blind_oracle_lru_combiner,4,6,0.6
stress::mixed_regime,clean,4,10,rest_v1,4,6,0.6
stress::mixed_regime,clean,4,10,atlas_v3,4,6,0.6
stress::mixed_regime,clean,4,10,lru,4,6,0.6
stress::mixed_regime,noisy,2,10,evict_value_v1_artifact,8,2,0.2
stress::mixed_regime,noisy,2,10,evict_value_v1_lightweight,10,0,0.0
stress::mixed_regime,noisy,2,10,robust_ftp_d_marker,8,2,0.2
stress::mixed_regime,noisy,2,10,blind_oracle_lru_combiner,8,2,0.2
stress::mixed_regime,noisy,2,10,rest_v1,9,1,0.1
stress::mixed_regime,noisy,2,10,atlas_v3,8,2,0.2
stress::mixed_regime,noisy,2,10,lru,10,0,0.0
stress::mixed_regime,noisy,3,10,evict_value_v1_artifact,5,5,0.5
stress::mixed_regime,noisy,3,10,evict_value_v1_lightweight,7,3,0.3
stress::mixed_regime,noisy,3,10,robust_ftp_d_marker,5,5,0.5
stress::mixed_regime,noisy,3,10,blind_oracle_lru_combiner,7,3,0.3
stress::mixed_regime,noisy,3,10,rest_v1,5,5,0.5
stress::mixed_regime,noisy,3,10,atlas_v3,6,4,0.4
stress::mixed_regime,noisy,3,10,lru,7,3,0.3
stress::mixed_regime,noisy,4,10,evict_value_v1_artifact,4,6,0.6
stress::mixed_regime,noisy,4,10,evict_value_v1_lightweight,4,6,0.6
stress::mixed_regime,noisy,4,10,robust_ftp_d_marker,4,6,0.6
stress::mixed_regime,noisy,4,10,blind_oracle_lru_combiner,4,6,0.6
stress::mixed_regime,noisy,4,10,rest_v1,4,6,0.6
stress::mixed_regime,noisy,4,10,atlas_v3,4,6,0.6
stress::mixed_regime,noisy,4,10,lru,4,6,0.6
